FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
1920-01-01;3469;CÁCERES, CIUDAD;CACERES;459;10.7;9.0;8.4;;13.0;;;;;;;;;;
1920-01-02;3469;CÁCERES, CIUDAD;CACERES;459;6.4;1.0;2.6;;10.2;;;;;;;;;;
1920-01-03;3469;CÁCERES, CIUDAD;CACERES;459;6.6;1.7;3.0;;10.2;;;;;;;;;;
1920-01-04;3469;CÁCERES, CIUDAD;CACERES;459;5.9;11.8;2.6;;9.2;;;;;;;;;;
1920-01-05;3469;CÁCERES, CIUDAD;CACERES;459;5.9;0.0;2.4;;9.4;;;;;;;;;;
1920-01-06;3469;CÁCERES, CIUDAD;CACERES;459;4.2;0.0;0.0;;8.4;;;;;;;;;;
1920-01-07;3469;CÁCERES, CIUDAD;CACERES;459;5.1;0.0;-0.2;;10.4;;;;;;;;;;
1920-01-08;3469;CÁCERES, CIUDAD;CACERES;459;6.4;0.0;1.2;;11.6;;;;;;;;;;
1920-01-09;3469;CÁCERES, CIUDAD;CACERES;459;8.1;0.0;1.6;;14.6;;;;;;;;;;
1920-01-10;3469;CÁCERES, CIUDAD;CACERES;459;5.6;Ip;3.6;;7.6;;;;;;;;;;
1920-01-11;3469;CÁCERES, CIUDAD;CACERES;459;7.6;Ip;3.8;;11.4;;;;;;;;;;
1920-01-12;3469;CÁCERES, CIUDAD;CACERES;459;10.0;0.0;6.2;;13.8;;;;;;;;;;
1920-01-13;3469;CÁCERES, CIUDAD;CACERES;459;5.6;0.0;4.2;;7.0;;;;;;;;;;
1920-01-14;3469;CÁCERES, CIUDAD;CACERES;459;4.1;0.3;2.4;;5.8;;;;;;;;;;
1920-01-15;3469;CÁCERES, CIUDAD;CACERES;459;7.8;0.4;1.8;;13.8;;;;;;;;;;
1920-01-16;3469;CÁCERES, CIUDAD;CACERES;459;8.2;0.0;1.6;;14.8;;;;;;;;;;
1920-01-17;3469;CÁCERES, CIUDAD;CACERES;459;9.0;0.0;3.6;;14.4;;;;;;;;;;
1920-01-18;3469;CÁCERES, CIUDAD;CACERES;459;9.6;0.0;4.0;;15.2;;;;;;;;;;
1920-01-19;3469;CÁCERES, CIUDAD;CACERES;459;8.5;0.0;3.8;;13.2;;;;;;;;;;
1920-01-20;3469;CÁCERES, CIUDAD;CACERES;459;6.8;0.0;1.8;;11.8;;;;;;;;;;
1920-01-21;3469;CÁCERES, CIUDAD;CACERES;459;9.2;0.0;2.4;;16.0;;;;;;;;;;
1920-01-22;3469;CÁCERES, CIUDAD;CACERES;459;11.1;0.0;5.4;;16.8;;;;;;;;;;
1920-01-23;3469;CÁCERES, CIUDAD;CACERES;459;10.9;0.0;5.4;;16.4;;;;;;;;;;
1920-01-24;3469;CÁCERES, CIUDAD;CACERES;459;10.2;0.0;5.4;;15.0;;;;;;;;;;
1920-01-25;3469;CÁCERES, CIUDAD;CACERES;459;9.3;0.0;4.8;;13.8;;;;;;;;;;
1920-01-26;3469;CÁCERES, CIUDAD;CACERES;459;8.0;5.0;5.6;;10.4;;;;;;;;;;
1920-01-27;3469;CÁCERES, CIUDAD;CACERES;459;10.4;2.5;7.2;;13.6;;;;;;;;;;
1920-01-28;3469;CÁCERES, CIUDAD;CACERES;459;9.9;0.0;8.4;;11.4;;;;;;;;;;
1920-01-29;3469;CÁCERES, CIUDAD;CACERES;459;7.1;3.7;3.4;;10.8;;;;;;;;;;
1920-01-30;3469;CÁCERES, CIUDAD;CACERES;459;7.7;0.0;3.0;;12.4;;;;;;;;;;
1920-01-31;3469;CÁCERES, CIUDAD;CACERES;459;9.3;0.0;4.6;;14.0;;;;;;;;;;
1920-02-01;3469;CÁCERES, CIUDAD;CACERES;459;9.3;0.0;3.0;;15.6;;;;;;;;;;
1920-02-02;3469;CÁCERES, CIUDAD;CACERES;459;10.1;0.0;3.4;;16.8;;;;;;;;;;
1920-02-03;3469;CÁCERES, CIUDAD;CACERES;459;12.5;0.0;7.0;;18.0;;;;;;;;;;
1920-02-04;3469;CÁCERES, CIUDAD;CACERES;459;11.5;0.0;7.2;;15.8;;;;;;;;;;
1920-02-05;3469;CÁCERES, CIUDAD;CACERES;459;9.1;0.0;3.0;;15.2;;;;;;;;;;
1920-02-06;3469;CÁCERES, CIUDAD;CACERES;459;7.2;0.0;1.8;;12.6;;;;;;;;;;
1920-02-07;3469;CÁCERES, CIUDAD;CACERES;459;6.7;0.0;2.0;;11.4;;;;;;;;;;
1920-02-08;3469;CÁCERES, CIUDAD;CACERES;459;6.4;0.0;1.4;;11.4;;;;;;;;;;
1920-02-09;3469;CÁCERES, CIUDAD;CACERES;459;6.8;0.0;0.8;;12.8;;;;;;;;;;
1920-02-10;3469;CÁCERES, CIUDAD;CACERES;459;6.6;0.0;-0.2;;13.4;;;;;;;;;;
1920-02-11;3469;CÁCERES, CIUDAD;CACERES;459;7.6;0.0;0.2;;15.0;;;;;;;;;;
1920-02-12;3469;CÁCERES, CIUDAD;CACERES;459;9.0;0.0;2.0;;16.0;;;;;;;;;;
1920-02-13;3469;CÁCERES, CIUDAD;CACERES;459;7.4;0.0;4.2;;10.6;;;;;;;;;;
1920-02-14;3469;CÁCERES, CIUDAD;CACERES;459;8.5;0.0;4.0;;13.0;;;;;;;;;;
1920-02-15;3469;CÁCERES, CIUDAD;CACERES;459;10.2;Ip;5.0;;15.4;;;;;;;;;;
1920-02-16;3469;CÁCERES, CIUDAD;CACERES;459;10.6;Ip;7.8;;13.4;;;;;;;;;;
1920-02-17;3469;CÁCERES, CIUDAD;CACERES;459;8.3;2.0;7.2;;9.4;;;;;;;;;;
1920-02-18;3469;CÁCERES, CIUDAD;CACERES;459;6.7;3.8;3.8;;9.6;;;;;;;;;;
1920-02-19;3469;CÁCERES, CIUDAD;CACERES;459;6.8;Ip;4.4;;9.2;;;;;;;;;;
1920-02-20;3469;CÁCERES, CIUDAD;CACERES;459;9.0;8.0;5.8;;12.2;;;;;;;;;;
1920-02-21;3469;CÁCERES, CIUDAD;CACERES;459;11.3;0.3;6.2;;16.4;;;;;;;;;;
1920-02-22;3469;CÁCERES, CIUDAD;CACERES;459;11.2;0.0;6.0;;16.4;;;;;;;;;;
1920-02-23;3469;CÁCERES, CIUDAD;CACERES;459;10.6;0.0;6.2;;15.0;;;;;;;;;;
1920-02-24;3469;CÁCERES, CIUDAD;CACERES;459;8.3;1.4;6.2;;10.4;;;;;;;;;;
1920-02-25;3469;CÁCERES, CIUDAD;CACERES;459;9.8;8.0;6.2;;13.4;;;;;;;;;;
1920-02-26;3469;CÁCERES, CIUDAD;CACERES;459;11.2;0.0;8.2;;14.2;;;;;;;;;;
1920-02-27;3469;CÁCERES, CIUDAD;CACERES;459;10.7;1.7;8.4;;13.0;;;;;;;;;;
1920-02-28;3469;CÁCERES, CIUDAD;CACERES;459;8.9;4.6;3.6;;14.2;;;;;;;;;;
1920-02-29;3469;CÁCERES, CIUDAD;CACERES;459;12.4;2.3;8.8;;16.0;;;;;;;;;;
1920-03-01;3469;CÁCERES, CIUDAD;CACERES;459;11.1;0.0;6.6;;15.6;;;;;;;;;;
1920-03-02;3469;CÁCERES, CIUDAD;CACERES;459;10.5;0.0;6.8;;14.2;;;;;;;;;;
1920-03-03;3469;CÁCERES, CIUDAD;CACERES;459;10.5;1.2;6.2;;14.8;;;;;;;;;;
1920-03-04;3469;CÁCERES, CIUDAD;CACERES;459;13.3;0.0;7.2;;19.4;;;;;;;;;;
1920-03-05;3469;CÁCERES, CIUDAD;CACERES;459;12.3;0.0;8.4;;16.2;;;;;;;;;;
1920-03-06;3469;CÁCERES, CIUDAD;CACERES;459;12.6;0.0;10.6;;14.6;;;;;;;;;;
1920-03-07;3469;CÁCERES, CIUDAD;CACERES;459;6.0;6.8;1.4;;10.6;;;;;;;;;;
1920-03-08;3469;CÁCERES, CIUDAD;CACERES;459;4.8;3.2;0.2;;9.4;;;;;;;;;;
1920-03-09;3469;CÁCERES, CIUDAD;CACERES;459;3.7;0.0;-0.6;;8.0;;;;;;;;;;
1920-03-10;3469;CÁCERES, CIUDAD;CACERES;459;4.9;0.0;-1.2;;11.0;;;;;;;;;;
1920-03-11;3469;CÁCERES, CIUDAD;CACERES;459;8.1;0.0;0.4;;15.8;;;;;;;;;;
1920-03-12;3469;CÁCERES, CIUDAD;CACERES;459;10.2;0.0;4.4;;16.0;;;;;;;;;;
1920-03-13;3469;CÁCERES, CIUDAD;CACERES;459;11.2;0.1;7.2;;15.2;;;;;;;;;;
1920-03-14;3469;CÁCERES, CIUDAD;CACERES;459;9.4;2.0;4.4;;14.4;;;;;;;;;;
1920-03-15;3469;CÁCERES, CIUDAD;CACERES;459;9.5;3.2;6.4;;12.6;;;;;;;;;;
1920-03-16;3469;CÁCERES, CIUDAD;CACERES;459;7.1;0.3;1.6;;12.6;;;;;;;;;;
1920-03-17;3469;CÁCERES, CIUDAD;CACERES;459;11.6;0.0;3.2;;20.0;;;;;;;;;;
1920-03-18;3469;CÁCERES, CIUDAD;CACERES;459;12.3;0.0;6.2;;18.4;;;;;;;;;;
1920-03-19;3469;CÁCERES, CIUDAD;CACERES;459;17.0;0.0;9.2;;24.8;;;;;;;;;;
1920-03-20;3469;CÁCERES, CIUDAD;CACERES;459;18.8;0.0;11.4;;26.2;;;;;;;;;;
1920-03-21;3469;CÁCERES, CIUDAD;CACERES;459;18.7;0.0;11.4;;26.0;;;;;;;;;;
1920-03-22;3469;CÁCERES, CIUDAD;CACERES;459;19.2;0.0;11.8;;26.6;;;;;;;;;;
1920-03-23;3469;CÁCERES, CIUDAD;CACERES;459;19.1;0.0;12.0;;26.2;;;;;;;;;;
1920-03-24;3469;CÁCERES, CIUDAD;CACERES;459;14.2;0.0;6.4;;22.0;;;;;;;;;;
1920-03-25;3469;CÁCERES, CIUDAD;CACERES;459;14.7;0.0;7.4;;22.0;;;;;;;;;;
1920-03-26;3469;CÁCERES, CIUDAD;CACERES;459;14.0;0.0;7.4;;20.6;;;;;;;;;;
1920-03-27;3469;CÁCERES, CIUDAD;CACERES;459;12.8;0.0;5.8;;19.8;;;;;;;;;;
1920-03-28;3469;CÁCERES, CIUDAD;CACERES;459;10.2;0.0;5.4;;15.0;;;;;;;;;;
1920-03-29;3469;CÁCERES, CIUDAD;CACERES;459;7.2;10.2;3.2;;11.2;;;;;;;;;;
1920-03-30;3469;CÁCERES, CIUDAD;CACERES;459;7.7;4.3;2.2;;13.2;;;;;;;;;;
1920-03-31;3469;CÁCERES, CIUDAD;CACERES;459;9.5;0.6;3.0;;16.0;;;;;;;;;;
1920-04-01;3469;CÁCERES, CIUDAD;CACERES;459;11.3;0.0;4.8;;17.8;;;;;;;;;;
1920-04-02;3469;CÁCERES, CIUDAD;CACERES;459;12.9;0.1;6.0;;19.8;;;;;;;;;;
1920-04-03;3469;CÁCERES, CIUDAD;CACERES;459;13.6;0.0;5.8;;21.4;;;;;;;;;;
1920-04-04;3469;CÁCERES, CIUDAD;CACERES;459;14.6;0.0;7.8;;21.4;;;;;;;;;;
1920-04-05;3469;CÁCERES, CIUDAD;CACERES;459;15.5;0.0;8.2;;22.8;;;;;;;;;;
1920-04-06;3469;CÁCERES, CIUDAD;CACERES;459;15.8;0.0;9.6;;22.0;;;;;;;;;;
1920-04-07;3469;CÁCERES, CIUDAD;CACERES;459;16.1;0.0;9.6;;22.6;;;;;;;;;;
1920-04-08;3469;CÁCERES, CIUDAD;CACERES;459;15.2;0.0;10.0;;20.4;;;;;;;;;;
1920-04-09;3469;CÁCERES, CIUDAD;CACERES;459;13.5;8.0;9.6;;17.4;;;;;;;;;;
1920-04-10;3469;CÁCERES, CIUDAD;CACERES;459;12.9;1.0;7.8;;18.0;;;;;;;;;;
1920-04-11;3469;CÁCERES, CIUDAD;CACERES;459;12.2;1.5;7.8;;16.6;;;;;;;;;;
1920-04-12;3469;CÁCERES, CIUDAD;CACERES;459;9.9;7.4;8.6;;11.2;;;;;;;;;;
1920-04-13;3469;CÁCERES, CIUDAD;CACERES;459;10.9;7.4;7.0;;14.8;;;;;;;;;;
1920-04-14;3469;CÁCERES, CIUDAD;CACERES;459;12.8;1.7;8.6;;17.0;;;;;;;;;;
1920-04-15;3469;CÁCERES, CIUDAD;CACERES;459;13.4;0.0;10.2;;16.6;;;;;;;;;;
1920-04-16;3469;CÁCERES, CIUDAD;CACERES;459;11.8;2.8;7.0;;16.6;;;;;;;;;;
1920-04-17;3469;CÁCERES, CIUDAD;CACERES;459;12.3;7.2;7.4;;17.2;;;;;;;;;;
1920-04-18;3469;CÁCERES, CIUDAD;CACERES;459;10.7;3.5;5.0;;16.4;;;;;;;;;;
1920-04-19;3469;CÁCERES, CIUDAD;CACERES;459;13.3;Ip;7.0;;19.6;;;;;;;;;;
1920-04-20;3469;CÁCERES, CIUDAD;CACERES;459;13.9;0.0;6.4;;21.4;;;;;;;;;;
1920-04-21;3469;CÁCERES, CIUDAD;CACERES;459;12.4;0.0;5.8;;19.0;;;;;;;;;;
1920-04-22;3469;CÁCERES, CIUDAD;CACERES;459;15.3;0.0;7.8;;22.8;;;;;;;;;;
1920-04-23;3469;CÁCERES, CIUDAD;CACERES;459;18.0;0.0;10.8;;25.2;;;;;;;;;;
1920-04-24;3469;CÁCERES, CIUDAD;CACERES;459;16.8;0.0;11.4;;22.2;;;;;;;;;;
1920-04-25;3469;CÁCERES, CIUDAD;CACERES;459;19.6;0.0;11.6;;27.6;;;;;;;;;;
1920-04-26;3469;CÁCERES, CIUDAD;CACERES;459;21.3;0.0;12.6;;30.0;;;;;;;;;;
1920-04-27;3469;CÁCERES, CIUDAD;CACERES;459;19.8;0.0;11.4;;28.2;;;;;;;;;;
1920-04-28;3469;CÁCERES, CIUDAD;CACERES;459;20.9;0.0;13.6;;28.2;;;;;;;;;;
1920-04-29;3469;CÁCERES, CIUDAD;CACERES;459;17.1;0.0;10.4;;23.8;;;;;;;;;;
1920-04-30;3469;CÁCERES, CIUDAD;CACERES;459;15.7;0.0;9.8;;21.6;;;;;;;;;;
1920-05-01;3469;CÁCERES, CIUDAD;CACERES;459;16.7;0.0;10.2;;23.2;;;;;;;;;;
1920-05-02;3469;CÁCERES, CIUDAD;CACERES;459;16.6;0.3;11.8;;21.4;;;;;;;;;;
1920-05-03;3469;CÁCERES, CIUDAD;CACERES;459;17.6;1.2;10.0;;25.2;;;;;;;;;;
1920-05-04;3469;CÁCERES, CIUDAD;CACERES;459;17.9;0.0;11.6;;24.2;;;;;;;;;;
1920-05-05;3469;CÁCERES, CIUDAD;CACERES;459;15.6;0.0;11.8;;19.4;;;;;;;;;;
1920-05-06;3469;CÁCERES, CIUDAD;CACERES;459;18.7;0.0;8.0;;29.4;;;;;;;;;;
1920-05-07;3469;CÁCERES, CIUDAD;CACERES;459;23.5;0.0;15.6;;31.4;;;;;;;;;;
1920-05-08;3469;CÁCERES, CIUDAD;CACERES;459;26.3;0.0;17.4;;35.2;;;;;;;;;;
1920-05-09;3469;CÁCERES, CIUDAD;CACERES;459;24.6;0.0;14.0;;35.2;;;;;;;;;;
1920-05-10;3469;CÁCERES, CIUDAD;CACERES;459;27.3;0.0;20.8;;33.8;;;;;;;;;;
1920-05-11;3469;CÁCERES, CIUDAD;CACERES;459;23.4;1.0;18.6;;28.2;;;;;;;;;;
1920-05-12;3469;CÁCERES, CIUDAD;CACERES;459;20.0;0.0;13.4;;26.6;;;;;;;;;;
1920-05-13;3469;CÁCERES, CIUDAD;CACERES;459;18.0;Ip;16.4;;19.6;;;;;;;;;;
1920-05-14;3469;CÁCERES, CIUDAD;CACERES;459;17.2;2.9;10.6;;23.8;;;;;;;;;;
1920-05-15;3469;CÁCERES, CIUDAD;CACERES;459;17.8;3.2;12.6;;23.0;;;;;;;;;;
1920-05-16;3469;CÁCERES, CIUDAD;CACERES;459;15.4;1.7;11.2;;19.6;;;;;;;;;;
1920-05-17;3469;CÁCERES, CIUDAD;CACERES;459;19.1;2.3;11.2;;27.0;;;;;;;;;;
1920-05-18;3469;CÁCERES, CIUDAD;CACERES;459;21.5;0.0;13.0;;30.0;;;;;;;;;;
1920-05-19;3469;CÁCERES, CIUDAD;CACERES;459;19.7;0.0;11.6;;27.8;;;;;;;;;;
1920-05-20;3469;CÁCERES, CIUDAD;CACERES;459;16.0;0.0;9.4;;22.6;;;;;;;;;;
1920-05-21;3469;CÁCERES, CIUDAD;CACERES;459;18.8;0.0;10.0;;27.6;;;;;;;;;;
1920-05-22;3469;CÁCERES, CIUDAD;CACERES;459;18.2;7.4;11.8;;24.6;;;;;;;;;;
1920-05-23;3469;CÁCERES, CIUDAD;CACERES;459;19.7;1.9;14.4;;25.0;;;;;;;;;;
1920-05-24;3469;CÁCERES, CIUDAD;CACERES;459;15.6;38.6;11.0;;20.2;;;;;;;;;;
1920-05-25;3469;CÁCERES, CIUDAD;CACERES;459;16.2;2.7;11.2;;21.2;;;;;;;;;;
1920-05-26;3469;CÁCERES, CIUDAD;CACERES;459;20.4;0.0;13.6;;27.2;;;;;;;;;;
1920-05-27;3469;CÁCERES, CIUDAD;CACERES;459;22.0;0.0;14.4;;29.6;;;;;;;;;;
1920-05-28;3469;CÁCERES, CIUDAD;CACERES;459;22.5;0.0;14.8;;30.2;;;;;;;;;;
1920-05-29;3469;CÁCERES, CIUDAD;CACERES;459;20.9;0.0;12.2;;29.6;;;;;;;;;;
1920-05-30;3469;CÁCERES, CIUDAD;CACERES;459;22.1;0.0;11.2;;33.0;;;;;;;;;;
1920-05-31;3469;CÁCERES, CIUDAD;CACERES;459;24.3;Ip;16.8;;31.8;;;;;;;;;;
1920-06-01;3469;CÁCERES, CIUDAD;CACERES;459;24.3;0.6;17.8;;30.8;;;;;;;;;;
1920-06-02;3469;CÁCERES, CIUDAD;CACERES;459;24.7;0.0;17.4;;32.0;;;;;;;;;;
1920-06-03;3469;CÁCERES, CIUDAD;CACERES;459;24.5;0.0;16.0;;33.0;;;;;;;;;;
1920-06-04;3469;CÁCERES, CIUDAD;CACERES;459;25.4;0.0;17.6;;33.2;;;;;;;;;;
1920-06-05;3469;CÁCERES, CIUDAD;CACERES;459;23.8;0.0;16.0;;31.6;;;;;;;;;;
1920-06-06;3469;CÁCERES, CIUDAD;CACERES;459;17.0;0.0;10.8;;23.2;;;;;;;;;;
1920-06-07;3469;CÁCERES, CIUDAD;CACERES;459;14.6;5.8;10.4;;18.8;;;;;;;;;;
1920-06-08;3469;CÁCERES, CIUDAD;CACERES;459;18.3;0.9;10.8;;25.8;;;;;;;;;;
1920-06-09;3469;CÁCERES, CIUDAD;CACERES;459;17.0;0.0;10.2;;23.8;;;;;;;;;;
1920-06-10;3469;CÁCERES, CIUDAD;CACERES;459;17.6;0.0;9.6;;25.6;;;;;;;;;;
1920-06-11;3469;CÁCERES, CIUDAD;CACERES;459;17.1;0.0;12.2;;22.0;;;;;;;;;;
1920-06-12;3469;CÁCERES, CIUDAD;CACERES;459;17.0;Ip;11.6;;22.4;;;;;;;;;;
1920-06-13;3469;CÁCERES, CIUDAD;CACERES;459;16.4;0.0;9.2;;23.6;;;;;;;;;;
1920-06-14;3469;CÁCERES, CIUDAD;CACERES;459;16.7;Ip;11.4;;22.0;;;;;;;;;;
1920-06-15;3469;CÁCERES, CIUDAD;CACERES;459;19.7;0.0;11.2;;28.2;;;;;;;;;;
1920-06-16;3469;CÁCERES, CIUDAD;CACERES;459;19.5;0.0;12.4;;26.6;;;;;;;;;;
1920-06-17;3469;CÁCERES, CIUDAD;CACERES;459;19.7;0.0;11.2;;28.2;;;;;;;;;;
1920-06-18;3469;CÁCERES, CIUDAD;CACERES;459;23.9;0.0;15.8;;32.0;;;;;;;;;;
1920-06-19;3469;CÁCERES, CIUDAD;CACERES;459;25.7;0.0;18.0;;33.4;;;;;;;;;;
1920-06-20;3469;CÁCERES, CIUDAD;CACERES;459;27.7;0.0;19.0;;36.4;;;;;;;;;;
1920-06-21;3469;CÁCERES, CIUDAD;CACERES;459;29.5;0.0;21.0;;38.0;;;;;;;;;;
1920-06-22;3469;CÁCERES, CIUDAD;CACERES;459;30.6;0.0;21.4;;39.8;;;;;;;;;;
1920-06-23;3469;CÁCERES, CIUDAD;CACERES;459;32.2;0.0;23.0;;41.4;;;;;;;;;;
1920-06-24;3469;CÁCERES, CIUDAD;CACERES;459;29.7;0.6;20.6;;38.8;;;;;;;;;;
1920-06-25;3469;CÁCERES, CIUDAD;CACERES;459;28.8;0.3;20.4;;37.2;;;;;;;;;;
1920-06-26;3469;CÁCERES, CIUDAD;CACERES;459;26.8;0.4;20.0;;33.6;;;;;;;;;;
1920-06-27;3469;CÁCERES, CIUDAD;CACERES;459;25.1;0.0;18.2;;32.0;;;;;;;;;;
1920-06-28;3469;CÁCERES, CIUDAD;CACERES;459;22.3;0.0;15.8;;28.8;;;;;;;;;;
1920-06-29;3469;CÁCERES, CIUDAD;CACERES;459;23.4;0.0;15.2;;31.6;;;;;;;;;;
1920-06-30;3469;CÁCERES, CIUDAD;CACERES;459;23.0;0.0;14.6;;31.4;;;;;;;;;;
1920-07-01;3469;CÁCERES, CIUDAD;CACERES;459;22.0;0.0;12.4;;31.6;;;;;;;;;;
1920-07-02;3469;CÁCERES, CIUDAD;CACERES;459;21.9;0.0;14.0;;29.8;;;;;;;;;;
1920-07-03;3469;CÁCERES, CIUDAD;CACERES;459;21.5;0.0;13.0;;30.0;;;;;;;;;;
1920-07-04;3469;CÁCERES, CIUDAD;CACERES;459;24.3;0.0;16.0;;32.6;;;;;;;;;;
1920-07-05;3469;CÁCERES, CIUDAD;CACERES;459;25.5;0.0;17.6;;33.4;;;;;;;;;;
1920-07-06;3469;CÁCERES, CIUDAD;CACERES;459;23.8;0.0;15.0;;32.6;;;;;;;;;;
1920-07-07;3469;CÁCERES, CIUDAD;CACERES;459;23.4;0.0;14.8;;32.0;;;;;;;;;;
1920-07-08;3469;CÁCERES, CIUDAD;CACERES;459;23.4;0.0;15.6;;31.2;;;;;;;;;;
1920-07-09;3469;CÁCERES, CIUDAD;CACERES;459;23.5;0.0;14.6;;32.4;;;;;;;;;;
1920-07-10;3469;CÁCERES, CIUDAD;CACERES;459;26.9;0.0;18.4;;35.4;;;;;;;;;;
1920-07-11;3469;CÁCERES, CIUDAD;CACERES;459;27.1;0.0;19.4;;34.8;;;;;;;;;;
1920-07-12;3469;CÁCERES, CIUDAD;CACERES;459;26.7;0.0;19.0;;34.4;;;;;;;;;;
1920-07-13;3469;CÁCERES, CIUDAD;CACERES;459;25.8;0.0;15.4;;36.2;;;;;;;;;;
1920-07-14;3469;CÁCERES, CIUDAD;CACERES;459;27.7;0.0;19.8;;35.6;;;;;;;;;;
1920-07-15;3469;CÁCERES, CIUDAD;CACERES;459;25.7;0.0;15.6;;35.8;;;;;;;;;;
1920-07-16;3469;CÁCERES, CIUDAD;CACERES;459;26.4;0.0;17.6;;35.2;;;;;;;;;;
1920-07-17;3469;CÁCERES, CIUDAD;CACERES;459;24.4;0.0;16.0;;32.8;;;;;;;;;;
1920-07-18;3469;CÁCERES, CIUDAD;CACERES;459;25.5;0.0;17.0;;34.0;;;;;;;;;;
1920-07-19;3469;CÁCERES, CIUDAD;CACERES;459;27.1;0.0;17.4;;36.8;;;;;;;;;;
1920-07-20;3469;CÁCERES, CIUDAD;CACERES;459;27.8;0.0;20.2;;35.4;;;;;;;;;;
1920-07-21;3469;CÁCERES, CIUDAD;CACERES;459;25.5;0.0;17.8;;33.2;;;;;;;;;;
1920-07-22;3469;CÁCERES, CIUDAD;CACERES;459;27.5;0.0;18.6;;36.4;;;;;;;;;;
1920-07-23;3469;CÁCERES, CIUDAD;CACERES;459;28.2;0.0;20.4;;36.0;;;;;;;;;;
1920-07-24;3469;CÁCERES, CIUDAD;CACERES;459;25.2;0.0;15.2;;35.2;;;;;;;;;;
1920-07-25;3469;CÁCERES, CIUDAD;CACERES;459;26.0;0.0;17.0;;35.0;;;;;;;;;;
1920-07-26;3469;CÁCERES, CIUDAD;CACERES;459;23.8;0.0;17.4;;30.2;;;;;;;;;;
1920-07-27;3469;CÁCERES, CIUDAD;CACERES;459;23.1;0.0;14.0;;32.2;;;;;;;;;;
1920-07-28;3469;CÁCERES, CIUDAD;CACERES;459;27.0;0.0;19.0;;35.0;;;;;;;;;;
1920-07-29;3469;CÁCERES, CIUDAD;CACERES;459;30.3;0.0;21.6;;39.0;;;;;;;;;;
1920-07-30;3469;CÁCERES, CIUDAD;CACERES;459;31.5;0.0;21.6;;41.4;;;;;;;;;;
1920-07-31;3469;CÁCERES, CIUDAD;CACERES;459;30.1;0.0;21.0;;39.2;;;;;;;;;;
1920-08-01;3469;CÁCERES, CIUDAD;CACERES;459;29.1;0.0;21.0;;37.2;;;;;;;;;;
1920-08-02;3469;CÁCERES, CIUDAD;CACERES;459;25.9;0.0;17.6;;34.2;;;;;;;;;;
1920-08-03;3469;CÁCERES, CIUDAD;CACERES;459;25.7;0.0;16.6;;34.8;;;;;;;;;;
1920-08-04;3469;CÁCERES, CIUDAD;CACERES;459;27.3;0.0;18.2;;36.4;;;;;;;;;;
1920-08-05;3469;CÁCERES, CIUDAD;CACERES;459;25.2;0.0;15.4;;35.0;;;;;;;;;;
1920-08-06;3469;CÁCERES, CIUDAD;CACERES;459;27.8;0.0;18.2;;37.4;;;;;;;;;;
1920-08-07;3469;CÁCERES, CIUDAD;CACERES;459;31.3;0.0;22.6;;40.0;;;;;;;;;;
1920-08-08;3469;CÁCERES, CIUDAD;CACERES;459;29.7;0.0;20.4;;39.0;;;;;;;;;;
1920-08-09;3469;CÁCERES, CIUDAD;CACERES;459;31.2;0.0;23.0;;39.4;;;;;;;;;;
1920-08-10;3469;CÁCERES, CIUDAD;CACERES;459;29.6;0.0;19.8;;39.4;;;;;;;;;;
1920-08-11;3469;CÁCERES, CIUDAD;CACERES;459;31.4;0.0;22.4;;40.4;;;;;;;;;;
1920-08-12;3469;CÁCERES, CIUDAD;CACERES;459;30.2;0.0;20.4;;40.0;;;;;;;;;;
1920-08-13;3469;CÁCERES, CIUDAD;CACERES;459;27.3;0.0;18.0;;36.6;;;;;;;;;;
1920-08-14;3469;CÁCERES, CIUDAD;CACERES;459;25.6;0.0;19.0;;32.2;;;;;;;;;;
1920-08-15;3469;CÁCERES, CIUDAD;CACERES;459;27.3;0.0;18.2;;36.4;;;;;;;;;;
1920-08-16;3469;CÁCERES, CIUDAD;CACERES;459;26.9;0.0;18.0;;35.8;;;;;;;;;;
1920-08-17;3469;CÁCERES, CIUDAD;CACERES;459;26.6;0.0;18.0;;35.2;;;;;;;;;;
1920-08-18;3469;CÁCERES, CIUDAD;CACERES;459;24.3;0.0;16.4;;32.2;;;;;;;;;;
1920-08-19;3469;CÁCERES, CIUDAD;CACERES;459;25.4;0.0;13.8;;37.0;;;;;;;;;;
1920-08-20;3469;CÁCERES, CIUDAD;CACERES;459;22.8;0.0;14.8;;30.8;;;;;;;;;;
1920-08-21;3469;CÁCERES, CIUDAD;CACERES;459;24.2;0.0;16.8;;31.6;;;;;;;;;;
1920-08-22;3469;CÁCERES, CIUDAD;CACERES;459;24.6;0.0;17.0;;32.2;;;;;;;;;;
1920-08-23;3469;CÁCERES, CIUDAD;CACERES;459;24.5;0.0;16.0;;33.0;;;;;;;;;;
1920-08-24;3469;CÁCERES, CIUDAD;CACERES;459;26.9;0.0;18.4;;35.4;;;;;;;;;;
1920-08-25;3469;CÁCERES, CIUDAD;CACERES;459;25.8;0.0;18.8;;32.8;;;;;;;;;;
